iter	Passed	Remaining
0	1217	607727
1	2577	641820
2	3642	603411
3	4491	556946
4	5865	580653
5	7144	588206
6	8087	569597
7	9478	582908
8	10874	593261
9	11737	575147
10	12641	561966
11	13890	564864
12	15299	573135
13	16414	569818
14	17340	560671
15	18241	551807
16	19145	543959
17	20019	536084
18	20879	528580
19	21762	522303
20	22652	516690
21	23510	510809
22	24533	508807
23	25495	505654
24	26466	502868
25	27399	499521
26	28302	495812
27	29231	492767
28	30138	489483
29	31110	487391
30	32073	485240
31	32945	481832
32	33889	479588
33	34706	475684
34	35541	472188
35	36555	471161
36	37389	467876
37	38439	467339
38	39422	465988
39	40954	470981
40	42040	470650
41	43141	470444
42	44284	470651
43	45484	471389
44	46398	469144
45	47259	466425
46	48493	467392
47	49394	465130
48	50279	462776
49	51129	460168
50	52011	457903
51	52871	455511
52	53731	453173
53	54573	450735
54	55772	451247
55	56653	449181
56	57586	447555
57	58595	446537
58	59566	445233
59	60500	443667
60	61373	441686
61	62227	439604
62	63134	437935
63	64009	436065
64	65265	436775
65	66135	434891
66	66970	432807
67	67812	430806
68	68654	428843
69	69556	427273
70	70788	427720
71	71734	426422
72	72684	425152
73	73576	423560
74	74452	421896
75	75564	421573
76	76604	420829
77	77757	420687
78	78657	419177
79	79536	417567
80	80403	415916
81	81274	414301
82	82149	412727
83	83247	412273
84	84099	410605
85	84978	409083
86	85843	407508
87	86694	405888
88	87540	404258
89	88647	403838
90	89507	402291
91	90395	400882
92	91293	399532
93	92197	398212
94	93272	397635
95	94163	396270
96	95030	394815
97	96005	393819
98	96860	392333
99	97821	391286
100	98690	389877
101	99552	388448
102	100401	386985
103	101260	385568
104	102430	385333
105	103339	384112
106	104202	382724
107	105315	382256
108	106490	381996
109	107395	380764
110	108383	379829
111	109560	379550
112	110447	378257
113	111718	378273
114	112880	377905
115	113754	376566
116	114751	375640
117	116005	375544
118	117035	374711
119	117905	373366
120	118785	372063
121	120133	372216
122	120998	370865
123	122254	370706
124	123530	370591
125	124488	369512
126	125757	369349
127	126937	368911
128	128046	368257
129	129540	368693
130	130977	368936
131	131952	367866
132	133362	368000
133	134241	366658
134	135572	366546
135	136501	365342
136	137676	364791
137	138695	363825
138	139841	363186
139	141198	363081
140	142567	362992
141	143851	362668
142	145044	362103
143	146257	361579
144	147154	360275
145	148626	360367
146	150399	361162
147	151445	360195
148	152398	359006
149	153899	359099
150	155090	358454
151	156232	357689
152	157349	356865
153	158316	355697
154	159266	354495
155	160199	353261
156	161573	352991
157	163025	352878
158	163914	351540
159	165029	350688
160	166115	349771
161	167067	348572
162	168291	347940
163	169565	347403
164	170581	346332
165	171474	345015
166	172762	344490
167	173888	343637
168	175217	343177
169	176781	343163
170	177884	342246
171	179215	341759
172	180524	341222
173	182177	341321
174	183052	339954
175	184057	338832
176	185371	338277
177	186716	337767
178	187824	336824
179	188771	335594
180	189797	334504
181	191210	334093
