text,amount,date,merchant,category,is_subscription,source
Потратил 72147 рублей в Саша на переводы,72147,2024-05-05,Саша,Переводы,0,voice
СПИСАНИЕ 399.00 ЯНДЕКС ПЛЮС,399,2025-01-14,Яндекс Плюс,Подписки,1,csv
Покупка. Skyeng. 110654.00 RUB,110654,2024-01-17,Skyeng,Образование,0,csv
Потратил 61040 рублей в Пятёрочка на продукты,61040,2024-09-15,Пятёрочка,Продукты,0,voice
Покупка. Aviasales. 52174.00 RUB,52174,2025-01-01,Aviasales,Путешествия,0,csv
Потратил 117807 рублей в Анна на переводы,117807,2024-10-28,Анна,Переводы,0,voice
Покупка. Steam. 41903.00 RUB,41903,2024-12-23,Steam,Развлечения,0,csv
Потратил 40808 рублей в Ригла на здоровье и аптеки,40808,2024-04-20,Ригла,Здоровье и аптеки,0,voice
Потратил 24362 рублей в Сбер на налоги,24362,2024-07-13,Сбер,Налоги,0,voice
Вкусно и точка Фастфуд 69392,69392,2025-02-17,Вкусно и точка,Фастфуд,0,manual
Глобус Супермаркеты 32772,32772,2025-04-17,Глобус,Супермаркеты,0,manual
Покупка. Ozon. 76904.00 RUB,76904,2025-02-28,Ozon,Техника и электроника,0,csv
Покупка. Алексей. 50457.00 RUB,50457,2024-12-26,Алексей,Переводы,0,csv
Покупка. Шоколадница. 59792.00 RUB,59792,2025-01-30,Шоколадница,Кафе и рестораны,0,csv
Потратил 99697 рублей в IVI на кино и сериалы,99697,2024-05-22,IVI,Кино и сериалы,0,voice
Подружка Красота и уход 42688,42688,2024-07-08,Подружка,Красота и уход,0,manual
Покупка. Спортмастер. 70036.00 RUB,70036,2024-12-25,Спортмастер,Обувь,0,csv
Потратил 44912 рублей в ИП Иванов на зарплата,44912,2024-09-30,ИП Иванов,Зарплата,0,voice
Потратил 121228 рублей в Тинькофф Инвестиции на инвестиции,121228,2024-07-13,Тинькофф Инвестиции,Инвестиции,0,voice
Покупка. PlayStation Store. 146051.00 RUB,146051,2024-04-22,PlayStation Store,Развлечения,0,csv
Покупка. ООО Техно. 14713.00 RUB,14713,2024-04-27,ООО Техно,Зарплата,0,csv
Прочий платеж Прочее 105212,105212,2024-05-17,Прочий платеж,Прочее,0,manual
Покупка. Тануки. 82540.00 RUB,82540,2024-04-18,Тануки,Кафе и рестораны,0,csv
Анна Переводы 120335,120335,2024-03-14,Анна,Переводы,0,manual
Потратил 147209 рублей в Steam на развлечения,147209,2024-10-02,Steam,Развлечения,0,voice
Покупка. PlayStation Store. 112361.00 RUB,112361,2025-04-04,PlayStation Store,Развлечения,0,csv
X-Fit Спорт 57543,57543,2024-03-11,X-Fit,Спорт,0,manual
Потратил 28793 рублей в МегаФон на интернет и связь,28793,2024-03-19,МегаФон,Интернет и связь,0,voice
Покупка. Мама. 110716.00 RUB,110716,2024-11-01,Мама,Переводы,0,csv
Кофемания Кафе и рестораны 122746,122746,2024-09-27,Кофемания,Кафе и рестораны,0,manual
Потратил 30079 рублей в PlayStation Store на развлечения,30079,2024-12-15,PlayStation Store,Развлечения,0,voice
Покупка. Skillbox. 89224.00 RUB,89224,2024-02-27,Skillbox,Образование,0,csv
Оплатил подписку Okko 69095 рублей,69095,2024-09-13,Okko,Кино и сериалы,1,voice
ФНС Налоги 27944,27944,2025-03-21,ФНС,Налоги,0,manual
Покупка. Алексей. 133130.00 RUB,133130,2024-11-07,Алексей,Переводы,0,csv
Тройка Общественный транспорт 42399,42399,2024-10-03,Тройка,Общественный транспорт,0,manual
Покупка. ФНС. 85025.00 RUB,85025,2024-09-07,ФНС,Налоги,0,csv
Пятёрочка Продукты 80662,80662,2024-05-02,Пятёрочка,Продукты,0,manual
Покупка. Окей. 20695.00 RUB,20695,2024-02-13,Окей,Супермаркеты,0,csv
Потратил 139695 рублей в Сбер Инвестор на инвестиции,139695,2025-01-27,Сбер Инвестор,Инвестиции,0,voice
Покупка. РЖД. 124642.00 RUB,124642,2024-10-08,РЖД,Транспорт,0,csv
Uber Russia Такси 110973,110973,2024-04-18,Uber Russia,Такси,0,manual
Покупка. Нетология. 52780.00 RUB,52780,2024-12-31,Нетология,Образование,0,csv
Покупка. Okko. 114895.00 RUB,114895,2025-04-05,Okko,Кино и сериалы,0,csv
Оплатил подписку МегаФон 620 рублей,620,2024-02-02,МегаФон,Интернет и связь,1,voice
Покупка. Wildberries. 145257.00 RUB,145257,2024-04-27,Wildberries,Одежда,0,csv
Потратил 18660 рублей в World Class на спорт,18660,2024-12-28,World Class,Спорт,0,voice
Потратил 17718 рублей в Саша на переводы,17718,2025-04-08,Саша,Переводы,0,voice
Потратил 134832 рублей в METRO на супермаркеты,134832,2024-05-01,METRO,Супермаркеты,0,voice
PlayStation Store Развлечения 56210,56210,2024-10-03,PlayStation Store,Развлечения,0,manual
Покупка. S7 Airlines. 123957.00 RUB,123957,2024-05-04,S7 Airlines,Транспорт,0,csv
Русфонд Благотворительность 49964,49964,2024-02-18,Русфонд,Благотворительность,0,manual
Додо Пицца Фастфуд 111088,111088,2024-07-29,Додо Пицца,Фастфуд,0,manual
Потратил 25849 рублей в Подружка на красота и уход,25849,2024-02-01,Подружка,Красота и уход,0,voice
М.Видео Техника и электроника 28694,28694,2024-05-07,М.Видео,Техника и электроника,0,manual
Тройка Общественный транспорт 117651,117651,2024-03-12,Тройка,Общественный транспорт,0,manual
Потратил 121325 рублей в Аптека 36.6 на здоровье и аптеки,121325,2024-05-07,Аптека 36.6,Здоровье и аптеки,0,voice
Покупка. Кофемания. 25716.00 RUB,25716,2024-01-26,Кофемания,Кафе и рестораны,0,csv
Потратил 62015 рублей в Саша на переводы,62015,2024-03-26,Саша,Переводы,0,voice
Ригла Здоровье и аптеки 56082,56082,2025-03-18,Ригла,Здоровье и аптеки,0,manual
